Time,Data
1,10240
2,19456
3,39936
4,50184
5,82944
6,89088
7,97280
8,121856
9,142336
10,171008
11,205832
12,219136
13,253952
14,262144
15,276872
16,299448
17,334252
18,344492
19,363948
20,375212
21,375212
