Time,Data
1,1024
2,3072
3,3072
4,8192
5,10240
6,12288
7,12288
8,28672
9,49152
10,50176
11,52224
12,52224
13,52224
14,68608
15,70656
16,70656
17,91136
18,92160
19,92160
20,108544
