Time,Threads
1,5
2,9
3,12
4,16
5,18
6,16
7,12
8,17
9,23
10,29
11,33
12,41
13,39
14,46
15,48
16,53
17,55
18,61
19,67
20,69
21,67
22,64
23,58
24,41
25,38
26,28
27,17
28,11
29,9
30,4
31,3
32,2
33,0
