Time,Data
1,16384
2,26624
3,51200
4,55296
5,61440
6,79872
7,81920
8,84992
9,90112
10,96256
11,100352
12,103424
13,120832
14,122880
15,128000
16,148480
17,150528
18,171008
19,178176
20,191488
