Time,Threads
1,3
2,4
3,4
4,2
5,2
6,3
7,8
8,9
9,10
10,9
11,15
12,11
13,15
14,19
15,27
16,27
17,28
18,35
19,36
20,35
21,26
22,21
23,10
24,6
25,1
26,1
27,1
28,1
29,0
