Time,Data
1,6144
2,32768
3,70656
4,84992
5,99328
6,106496
7,131072
8,136192
9,158720
10,182272
11,232448
12,244736
13,249856
14,270336
15,291840
16,302080
17,338944
18,378880
19,414720
20,439296
21,455680
