Time,Data
1,15360
2,60416
3,103424
4,153600
5,197632
6,208896
7,257024
8,278528
9,299008
10,329728
11,352256
12,357376
13,393216
14,420864
15,428032
16,431104
17,478208
18,524288
19,566272
20,619520
21,663552
