Time,Threads
1,7
2,13
3,8
4,8
5,14
6,21
7,24
8,28
9,30
10,36
11,42
12,47
13,53
14,56
15,59
16,66
17,67
18,74
19,75
20,80
21,76
22,70
23,66
24,61
25,45
26,36
27,33
28,26
29,22
30,19
31,12
32,9
33,9
34,6
35,4
36,1
37,0
