Time,Data
1,16384
2,20480
3,36864
4,86016
5,86016
6,86016
7,102400
8,102400
9,104448
10,104448
11,109568
12,109568
13,132096
14,144384
15,179200
16,179200
17,187392
18,235520
19,278528
20,278528
