Time,Data
1,18432
2,61440
3,105472
4,142336
5,167936
6,232064
7,263808
8,299648
9,335488
10,378496
11,423688
12,461576
13,506384
14,553880
15,592792
16,616344
17,682040
18,715832
19,742456
20,786488
21,810040
22,869320
23,915400
24,976840
25,1009608
26,1044424
