Time,Data
1,20480
2,62216
3,102928
4,154520
5,186528
6,225192
7,269872
8,307008
9,356680
10,374088
11,432472
12,479456
13,510824
14,545640
15,586600
16,640880
17,664432
18,704760
19,754816
20,794376
21,827144
22,867080
23,914184
24,966800
25,1009048
26,1042840
27,1093144
28,1147416
29,1183256
30,1231512
31,1257116
32,1282708
33,1326616
34,1379864
35,1431064
36,1470872
37,1508760
38,1570336
39,1609248
40,1655856
41,1695792
42,1760568
43,1787192
44,1840440
45,1875256
46,1878328
