Time,Threads
1,2
2,3
3,1
4,4
5,7
6,4
7,5
8,3
9,4
10,7
11,9
12,10
13,9
14,12
15,10
16,15
17,18
18,16
19,20
20,17
21,16
22,16
23,11
24,5
25,4
26,0
