Time,Data
1,0
2,3072
3,15360
4,106496
5,108544
6,112640
7,149504
8,159744
9,186368
10,189440
11,207872
12,209920
13,226304
14,239616
15,293888
16,326656
17,330752
18,349184
19,349184
