Time,Threads
1,7
2,14
3,20
4,26
5,32
6,37
7,44
8,48
9,53
10,60
11,68
12,77
13,76
14,81
15,87
16,86
17,92
18,100
19,104
20,98
21,95
22,87
23,85
24,85
25,80
26,72
27,70
28,64
29,63
30,58
31,57
32,56
33,51
34,48
35,42
36,36
37,34
38,30
39,25
40,20
41,18
42,15
43,10
44,4
45,2
46,0
