Time,Threads
1,4
2,9
3,6
4,10
5,12
6,15
7,15
8,19
9,22
10,26
11,20
12,19
13,15
14,10
15,10
16,10
17,10
18,10
19,9
20,9
21,6
22,4
23,3
24,0
