Time,Data
1,0
2,65536
3,82048
4,86144
5,88192
6,89216
7,123008
8,123008
9,129152
10,140416
11,144512
12,177280
13,183424
14,214144
15,221312
16,247936
17,279680
18,296064
19,296064
