Time,Threads
1,10
2,16
3,25
4,34
5,41
6,50
7,58
8,67
9,74
10,83
11,91
12,99
13,108
14,117
15,126
16,58
17,56
18,56
19,54
20,54
21,53
22,51
23,50
24,43
25,42
26,40
27,38
28,36
29,36
30,32
31,31
32,30
33,30
34,29
35,28
36,27
37,24
38,22
39,18
40,15
41,14
42,12
43,11
44,9
45,9
46,7
47,5
48,4
49,3
50,2
51,1
52,1
53,0
