Time,Data
1,4096
2,9216
3,27648
4,29696
5,34816
6,55296
7,63488
8,79872
9,100352
10,118784
11,137216
12,155648
13,159744
14,178176
15,196608
16,199680
17,201728
18,203776
19,222208
20,222208
