Time,Threads
1,3
2,1
3,6
4,11
5,17
6,19
7,25
8,25
9,29
10,29
11,37
12,38
13,43
14,41
15,46
16,47
17,45
18,50
19,54
20,56
21,54
22,47
23,39
24,34
25,30
26,29
27,29
28,29
29,29
30,29
31,21
32,17
33,16
34,13
35,9
36,4
37,0
