Time,Data
1,22528
2,45056
3,71680
4,88064
5,126976
6,139264
7,161792
8,166912
9,189440
10,211968
11,222208
12,246784
13,288768
14,310272
15,332800
16,364544
17,377856
18,387072
19,415744
20,457728
21,474112
