Time,Data
1,32768
2,67584
3,100352
4,149504
5,187392
6,225280
7,272384
8,316416
9,353280
10,381952
11,421888
12,473088
13,505856
14,555008
15,590848
16,628736
17,665600
18,703552
19,751616
20,789504
21,829440
22,867328
23,903168
24,948224
25,989184
26,1019904
27,1019904
28,1019904
29,1019904
30,1019904
31,1019904
32,1019904
33,1041408
34,1041408
35,1041408
36,1041408
37,1041408
38,1041408
39,1046528
40,1088512
41,1115136
42,1157120
43,1205248
44,1248256
45,1280000
46,1287168
47,1315840
48,1341440
49,1351680
50,1369088
51,1369088
52,1385472
