Time,Threads
1,7
2,14
3,11
4,18
5,26
6,31
7,40
8,39
9,34
10,40
11,45
12,48
13,55
14,59
15,61
16,68
17,75
18,83
19,91
20,95
21,93
22,89
23,85
24,84
25,80
26,78
27,78
28,78
29,78
30,78
31,78
32,78
33,72
34,72
35,72
36,72
37,72
38,72
39,72
40,60
41,52
42,48
43,42
44,38
45,30
46,23
47,17
48,11
49,5
50,3
51,2
52,0
