Time,Data
1,1024
2,11264
3,35840
4,45056
5,92160
6,107520
7,140288
8,173056
9,177152
10,177152
11,179200
12,211968
13,232448
14,243712
15,270336
16,270336
17,287744
18,301056
19,333824
20,365568
21,388096
