Time,Data
1,18432
2,45056
3,63488
4,77824
5,117760
6,160768
7,208896
8,258048
9,274432
10,283648
11,327680
12,373760
13,402432
14,409600
15,439296
16,483328
17,513024
18,533504
19,572416
20,595968
21,628736
