Time,Data
1,1024
2,3072
3,7168
4,7168
5,23552
6,39936
7,39936
8,39936
9,39936
10,56320
11,56320
12,91136
13,93184
14,95232
15,99328
16,112640
17,129024
18,129024
19,135168
20,171008
21,194560
