Time,Threads
1,7
2,17
3,18
4,20
5,27
6,33
7,40
8,50
9,56
10,66
11,74
12,77
13,85
14,92
15,96
16,103
17,113
18,118
19,128
20,133
21,130
22,118
23,118
24,114
25,105
26,100
27,99
28,94
29,90
30,75
31,74
32,72
33,68
34,61
35,56
36,54
37,51
38,47
39,36
40,27
41,23
42,20
43,18
44,16
45,12
46,10
47,6
48,5
49,3
50,2
51,1
52,0
