Time,Threads
1,4
2,5
3,6
4,7
5,10
6,5
7,7
8,12
9,12
10,9
11,14
12,15
13,19
14,17
15,17
16,22
17,23
18,27
19,31
20,35
21,31
22,28
23,28
24,28
25,18
26,15
27,12
28,10
29,9
30,2
31,1
32,0
