Time,Data
1,7168
2,45704
3,98520
4,126168
5,164624
6,213776
7,252144
8,290432
9,333960
10,366728
11,416168
12,445864
13,503368
14,536136
15,581712
16,618576
17,661344
18,691040
19,725736
20,762128
21,796944
22,848144
23,869456
24,916372
25,963864
26,1004824
27,1029400
28,1076504
29,1130528
30,1170856
31,1202600
32,1237416
33,1285552
34,1320368
35,1359280
36,1393072
37,1439152
38,1487280
39,1526192
40,1563056
41,1600944
42,1639856
43,1687984
44,1733040
45,1777072
46,1811888
47,1852848
48,1885616
49,1934768
50,1967536
51,2000304
52,2033072
