Time,Data
1,24576
2,57344
3,122880
4,164864
5,206848
6,250648
7,301344
8,339232
9,391456
10,432416
11,486184
12,517928
13,554792
14,609976
15,652984
16,699968
17,747072
18,795200
19,836628
20,880456
21,920392
22,965448
23,1022792
24,1072968
25,1124168
26,1168200
27,1220424
28,1276744
29,1310536
30,1362760
31,1410888
32,1450824
33,1501000
34,1519432
35,1561800
36,1609928
37,1626312
38,1671368
39,1707208
40,1753928
41,1794888
42,1841992
43,1898312
44,1949512
45,1993544
46,2046792
47,2102088
48,2144072
49,2169672
50,2230088
51,2230088
52,2230088
53,2230088
54,2234184
55,2259784
56,2300744
57,2357064
58,2357064
59,2357064
60,2373448
