Time,Threads
1,4
2,5
3,6
4,9
5,11
6,15
7,18
8,21
9,25
10,26
11,26
12,27
13,24
14,25
15,28
16,30
17,30
18,32
19,32
20,35
21,31
22,25
23,20
24,20
25,12
26,10
27,4
28,3
29,1
30,1
31,0
